instance,solver,m_knapsacks,n_items,objective,runtime,status,gap
probT1_1W_R50_T002_M010_N0060_seed07.txt,OR-Tools,10,60,18242.0,60.20846700668335,Feasible,
probT1_1W_R50_T002_M010_N0060_seed08.txt,PuLP,10,60,17830.0,60.31596112251282,Optimal,
probT1_1W_R50_T002_M010_N0060_seed08.txt,OR-Tools,10,60,17585.0,60.22573685646057,Feasible,
probT1_1W_R50_T002_M010_N0060_seed09.txt,PuLP,10,60,18602.0,60.156017541885376,Optimal,
probT1_1W_R50_T002_M010_N0060_seed09.txt,OR-Tools,10,60,18593.0,60.17336058616638,Feasible,
probT1_1W_R50_T002_M010_N0060_seed10.txt,PuLP,10,60,19521.0,60.14433789253235,Optimal,
probT1_1W_R50_T002_M010_N0060_seed10.txt,OR-Tools,10,60,19129.0,60.091705322265625,Feasible,
probT1_1W_R50_T002_M020_N0020_seed01.txt,PuLP,20,20,3276.0,0.06329727172851562,Optimal,
probT1_1W_R50_T002_M020_N0020_seed01.txt,OR-Tools,20,20,3276.0,0.012444019317626953,Optimal,
probT1_1W_R50_T002_M020_N0020_seed02.txt,PuLP,20,20,3045.0,0.07886028289794922,Optimal,
probT1_1W_R50_T002_M020_N0020_seed02.txt,OR-Tools,20,20,3045.0,0.010805845260620117,Optimal,
probT1_1W_R50_T002_M020_N0020_seed03.txt,PuLP,20,20,2439.0,0.04855680465698242,Optimal,
probT1_1W_R50_T002_M020_N0020_seed03.txt,OR-Tools,20,20,2439.0,0.012204170227050781,Optimal,
probT1_1W_R50_T002_M020_N0020_seed04.txt,PuLP,20,20,2630.0,0.05327796936035156,Optimal,
probT1_1W_R50_T002_M020_N0020_seed04.txt,OR-Tools,20,20,2630.0,0.014410257339477539,Optimal,
probT1_1W_R50_T002_M020_N0020_seed05.txt,PuLP,20,20,2793.0,0.04900217056274414,Optimal,
probT1_1W_R50_T002_M020_N0020_seed05.txt,OR-Tools,20,20,2793.0,0.010926246643066406,Optimal,
probT1_1W_R50_T002_M020_N0020_seed06.txt,PuLP,20,20,3376.0,0.04768633842468262,Optimal,
probT1_1W_R50_T002_M020_N0020_seed06.txt,OR-Tools,20,20,3376.0,0.009019851684570312,Optimal,
probT1_1W_R50_T002_M020_N0020_seed07.txt,PuLP,20,20,2601.0,0.043241024017333984,Optimal,
probT1_1W_R50_T002_M020_N0020_seed07.txt,OR-Tools,20,20,2601.0,0.0065424442291259766,Optimal,
probT1_1W_R50_T002_M020_N0020_seed08.txt,PuLP,20,20,2913.0,0.053183794021606445,Optimal,
probT1_1W_R50_T002_M020_N0020_seed08.txt,OR-Tools,20,20,2913.0,0.016186237335205078,Optimal,
probT1_1W_R50_T002_M020_N0020_seed09.txt,PuLP,20,20,3068.0,0.041928768157958984,Optimal,
probT1_1W_R50_T002_M020_N0020_seed09.txt,OR-Tools,20,20,3068.0,0.0059168338775634766,Optimal,
probT1_1W_R50_T002_M020_N0020_seed10.txt,PuLP,20,20,3429.0,0.04604601860046387,Optimal,
probT1_1W_R50_T002_M020_N0020_seed10.txt,OR-Tools,20,20,3429.0,0.007161617279052734,Optimal,
probT1_1W_R50_T002_M020_N0040_seed01.txt,PuLP,20,40,11922.0,2.929013729095459,Optimal,
probT1_1W_R50_T002_M020_N0040_seed01.txt,OR-Tools,20,40,11922.0,17.665971994400024,Optimal,
probT1_1W_R50_T002_M020_N0040_seed02.txt,PuLP,20,40,10823.0,0.2937471866607666,Optimal,
probT1_1W_R50_T002_M020_N0040_seed02.txt,OR-Tools,20,40,10823.0,0.21979594230651855,Optimal,
probT1_1W_R50_T002_M020_N0040_seed03.txt,PuLP,20,40,11852.0,0.5176081657409668,Optimal,
probT1_1W_R50_T002_M020_N0040_seed03.txt,OR-Tools,20,40,11852.0,0.3987135887145996,Optimal,
probT1_1W_R50_T002_M020_N0040_seed04.txt,PuLP,20,40,12523.0,60.1024956703186,Optimal,
probT1_1W_R50_T002_M020_N0040_seed04.txt,OR-Tools,20,40,12523.0,60.026506662368774,Feasible,
probT1_1W_R50_T002_M020_N0040_seed05.txt,PuLP,20,40,11347.0,1.5281436443328857,Optimal,
probT1_1W_R50_T002_M020_N0040_seed05.txt,OR-Tools,20,40,11347.0,1.396444320678711,Optimal,
probT1_1W_R50_T002_M020_N0040_seed06.txt,PuLP,20,40,12778.0,3.743262767791748,Optimal,
probT1_1W_R50_T002_M020_N0040_seed06.txt,OR-Tools,20,40,12778.0,3.0795557498931885,Optimal,
probT1_1W_R50_T002_M020_N0040_seed07.txt,PuLP,20,40,10765.0,2.0159993171691895,Optimal,
probT1_1W_R50_T002_M020_N0040_seed07.txt,OR-Tools,20,40,10765.0,3.679100275039673,Optimal,
probT1_1W_R50_T002_M020_N0040_seed08.txt,PuLP,20,40,10041.0,0.2887740135192871,Optimal,
probT1_1W_R50_T002_M020_N0040_seed08.txt,OR-Tools,20,40,10041.0,0.28235650062561035,Optimal,
probT1_1W_R50_T002_M020_N0040_seed09.txt,PuLP,20,40,11913.0,9.763726949691772,Optimal,
probT1_1W_R50_T002_M020_N0040_seed09.txt,OR-Tools,20,40,11913.0,7.588454008102417,Optimal,
probT1_1W_R50_T002_M020_N0040_seed10.txt,PuLP,20,40,12405.0,3.387883186340332,Optimal,
probT1_1W_R50_T002_M020_N0040_seed10.txt,OR-Tools,20,40,12405.0,2.77712345123291,Optimal,
probT1_1W_R50_T002_M020_N0060_seed01.txt,PuLP,20,60,18740.0,60.16726112365723,Optimal,
probT1_1W_R50_T002_M020_N0060_seed01.txt,OR-Tools,20,60,18600.0,60.0508987903595,Feasible,
probT1_1W_R50_T002_M020_N0060_seed02.txt,PuLP,20,60,17420.0,60.30323934555054,Optimal,
probT1_1W_R50_T002_M020_N0060_seed02.txt,OR-Tools,20,60,17697.0,60.1836838722229,Feasible,
probT1_1W_R50_T002_M020_N0060_seed03.txt,PuLP,20,60,17066.0,60.160343647003174,Optimal,
probT1_1W_R50_T002_M020_N0060_seed03.txt,OR-Tools,20,60,17459.0,60.11289620399475,Feasible,
probT1_1W_R50_T002_M020_N0060_seed04.txt,PuLP,20,60,17890.0,60.14410090446472,Optimal,
probT1_1W_R50_T002_M020_N0060_seed04.txt,OR-Tools,20,60,17744.0,60.093862771987915,Feasible,
probT1_1W_R50_T002_M020_N0060_seed05.txt,PuLP,20,60,16844.0,60.26196360588074,Optimal,
probT1_1W_R50_T002_M020_N0060_seed05.txt,OR-Tools,20,60,17806.0,60.127321004867554,Feasible,
probT1_1W_R50_T002_M020_N0060_seed06.txt,PuLP,20,60,19445.0,60.11516308784485,Optimal,
probT1_1W_R50_T002_M020_N0060_seed06.txt,OR-Tools,20,60,18707.0,60.12134909629822,Feasible,
probT1_1W_R50_T002_M020_N0060_seed07.txt,PuLP,20,60,17515.0,60.208056926727295,Optimal,
probT1_1W_R50_T002_M020_N0060_seed07.txt,OR-Tools,20,60,17277.0,60.10959196090698,Feasible,
probT1_1W_R50_T002_M020_N0060_seed08.txt,PuLP,20,60,17056.0,60.18422746658325,Optimal,
probT1_1W_R50_T002_M020_N0060_seed08.txt,OR-Tools,20,60,17298.0,60.12622117996216,Feasible,
probT1_1W_R50_T002_M020_N0060_seed09.txt,PuLP,20,60,18323.0,60.23635792732239,Optimal,
probT1_1W_R50_T002_M020_N0060_seed09.txt,OR-Tools,20,60,18291.0,60.180718660354614,Feasible,
probT1_1W_R50_T002_M020_N0060_seed10.txt,PuLP,20,60,18770.0,60.30660843849182,Optimal,
probT1_1W_R50_T002_M020_N0060_seed10.txt,OR-Tools,20,60,19364.0,60.128063440322876,Feasible,
probT1_2S_R50_T002_M010_N0020_seed01.txt,PuLP,10,20,9927.0,0.5914492607116699,Optimal,
probT1_2S_R50_T002_M010_N0020_seed01.txt,OR-Tools,10,20,9927.0,0.5665843486785889,Optimal,
probT1_2S_R50_T002_M010_N0020_seed02.txt,PuLP,10,20,8859.0,0.09936308860778809,Optimal,
probT1_2S_R50_T002_M010_N0020_seed02.txt,OR-Tools,10,20,8859.0,0.05183601379394531,Optimal,
probT1_2S_R50_T002_M010_N0020_seed03.txt,PuLP,10,20,9325.0,0.09392046928405762,Optimal,
